Category,Query
Welcome,Hi
Welcome,Hello
Welcome,Greetings
Welcome,Good morning
Welcome,Good afternoon
Welcome,Good evening
Welcome,Hey
Welcome,Howdy
Welcome,Hi there
Welcome,What's up?
Welcome,How are you?
Welcome,Nice to meet you
Welcome,How�s it going?
Welcome,Welcome
Welcome,How�s everything?
Welcome,Howdy-doo
Welcome,Greetings and salutations
Welcome,What's happening?
Welcome,Long time no see
Welcome,Good to see you
Welcome,Hiya
Welcome,Yo
Welcome,Hey there
Welcome,Hello there
Welcome,Hiya there
Welcome,How�s your day?
Divisions,What are the different divisions of the DoJ? 
Divisions,List the divisions within the Department of Justice. 
Divisions,How many divisions are there in the DoJ? 
Divisions,Can you provide information on the DoJ's divisions? 
Divisions,Explain the divisions of the Department of Justice. 
Divisions,What divisions does the DoJ consist of? 
Divisions,Give details about the divisions in DoJ. 
Divisions,DoJ divisions and their functions. 
Divisions,Which divisions are under the DoJ? 
Divisions,Names of divisions in the Department of Justice. 
Divisions,What are the different divisions of the DoJ? 
Divisions,List the divisions within the Department of Justice. 
Divisions,How many divisions are there in the DoJ? 
Divisions,Can you provide information on the DoJ's divisions? 
Divisions,Explain the divisions of the Department of Justice. 
Divisions,What divisions does the DoJ consist of? 
Divisions,Give details about the divisions in DoJ. 
Divisions,DoJ divisions and their functions. 
Divisions,Which divisions are under the DoJ? 
Divisions,Names of divisions in the Department of Justice. 
Divisions,What are the different divisions of the DoJ? 
Divisions,List the divisions within the Department of Justice. 
Divisions,How many divisions are there in the DoJ? 
Divisions,Can you provide information on the DoJ's divisions? 
Divisions,Explain the divisions of the Department of Justice. 
Divisions,What divisions does the DoJ consist of? 
Divisions,Give details about the divisions in DoJ. 
Divisions,DoJ divisions and their functions. 
Divisions,Which divisions are under the DoJ? 
Divisions,Names of divisions in the Department of Justice. 
Divisions,What are the different divisions of the DoJ? 
Divisions,List the divisions within the Department of Justice. 
Divisions,How many divisions are there in the DoJ? 
Divisions,Can you provide information on the DoJ's divisions? 
Divisions,Explain the divisions of the Department of Justice. 
Divisions,What divisions does the DoJ consist of? 
Divisions,Give details about the divisions in DoJ. 
Divisions,DoJ divisions and their functions. 
Divisions,Which divisions are under the DoJ? 
Divisions,Names of divisions in the Department of Justice. 
Divisions,What are the different divisions of the DoJ? 
Divisions,List the divisions within the Department of Justice. 
Divisions,How many divisions are there in the DoJ? 
Divisions,Can you provide information on the DoJ's divisions? 
Divisions,Explain the divisions of the Department of Justice. 
Divisions,What divisions does the DoJ consist of? 
Divisions,Give details about the divisions in DoJ. 
Divisions,DoJ divisions and their functions. 
Divisions,Which divisions are under the DoJ? 
Divisions,Names of divisions in the Department of Justice. 
Divisions,What are the different divisions of the DoJ? 
Divisions,List the divisions within the Department of Justice. 
Divisions,How many divisions are there in the DoJ? 
Divisions,Can you provide information on the DoJ's divisions? 
Divisions,Explain the divisions of the Department of Justice. 
Divisions,What divisions does the DoJ consist of? 
Divisions,Give details about the divisions in DoJ. 
Divisions,DoJ divisions and their functions. 
Divisions,Which divisions are under the DoJ? 
Divisions,Names of divisions in the Department of Justice. 
Divisions,What are the different divisions of the DoJ? 
Divisions,List the divisions within the Department of Justice. 
